id_municipio,Municipio,muni_clean,provincia,poblacion,censo,1_avance,particip_1_avance,2_avance,particip_2_avance,total_votantes,particip_total,v_nulos,votos_validos,v_blanco,total_votos_candid,ganador,por_ganador,segundo,por_segundo,PSOE,PP,Cs,Podemos,VOX,UPL,XAV,Otros,psoe_por,pp_por,cs_por,podemos_por,vox_por,upl_por,xav_por,otros_por
05001,ADANERO,Adanero,Ávila,196,179,105,"58,7",127,"70,9",160,"89,4",0,160,0,160,PP,"41,9",PSOE,"25,6",41,67,19,2,15,0,9,7,"25,6","41,9","11,9","1,3","9,4","0,0","5,6","4,4"
05002,LA ADRADA,La Adrada,Ávila,2757,1900,779,"41,0",1117,"58,8",1450,"76,3",29,1421,16,1405,PSOE,"39,8",PP,"32,2",565,457,169,114,72,0,2,26,"39,8","32,2","11,9","8,0","5,1","0,0","0,1","1,8"
05005,ALBORNOS,Albornos,Ávila,172,170,85,"50,0",127,"74,7",148,"87,1",3,145,6,139,PP,"35,2",PSOE,"24,1",35,51,33,3,10,0,4,3,"24,1","35,2","22,8","2,1","6,9","0,0","2,8","2,1"
05007,ALDEANUEVA DE SANTA CRUZ,Aldeanueva de Santa Cruz,Ávila,113,110,58,"52,7",65,"59,1",79,"71,8",1,78,2,76,PP,"67,9",VOX,"11,5",8,53,3,1,9,0,0,2,"10,3","67,9","3,8","1,3","11,5","0,0","0,0","2,6"
05008,ALDEASECA,Aldeaseca,Ávila,219,207,80,"38,6",140,"67,6",178,"86,0",4,174,2,172,PP,"48,9",PSOE,"35,1",61,85,13,2,9,0,0,2,"35,1","48,9","7,5","1,1","5,2","0,0","0,0","1,1"
05010,LA ALDEHUELA,La Aldehuela,Ávila,147,142,57,"40,1",97,"68,3",115,"81,0",2,113,0,113,PP,"48,7",PSOE,"24,8",28,55,13,4,12,0,1,0,"24,8","48,7","11,5","3,5","10,6","0,0","0,9","0,0"
05012,AMAVIDA,Amavida,Ávila,128,119,41,"34,5",70,"58,8",106,"89,1",0,106,1,105,PP,"29,2",PSOE,"22,6",24,31,15,1,13,0,0,21,"22,6","29,2","14,2","0,9","12,3","0,0","0,0","19,8"
05013,EL ARENAL,El Arenal,Ávila,943,849,415,"48,9",587,"69,1",731,"86,1",12,719,1,718,PP,"37,1",PSOE,"35,6",256,267,54,97,14,0,6,24,"35,6","37,1","7,5","13,5","1,9","0,0","0,8","3,3"
05014,ARENAS DE SAN PEDRO,Arenas de San Pedro,Ávila,6434,5287,2249,"42,5",2999,"56,7",3932,"74,4",53,3879,32,3847,PP,"40,9",PSOE,"34,7",1345,1586,357,213,188,0,12,146,"34,7","40,9","9,2","5,5","4,8","0,0","0,3","3,8"
05015,AREVALILLO,Arevalillo,Ávila,67,68,28,"41,2",42,"61,8",53,"77,9",1,52,1,51,Podemos,"65,4",PP,"21,2",0,11,3,34,1,0,1,1,"0,0","21,2","5,8","65,4","1,9","0,0","1,9","1,9"
05016,ARÉVALO,Arévalo,Ávila,7881,6346,2111,"33,3",3368,"53,1",4669,"73,6",61,4608,57,4551,PP,"43,7",PSOE,"27,8",1280,2014,563,166,379,0,27,122,"27,8","43,7","12,2","3,6","8,2","0,0","0,6","2,6"
05017,AVEINTE,Aveinte,Ávila,82,85,29,"34,1",58,"68,2",78,"91,8",0,78,1,77,PP,"56,4",PSOE,"17,9",14,44,4,4,3,0,4,4,"17,9","56,4","5,1","5,1","3,8","0,0","5,1","5,1"
05018,AVELLANEDA,Avellaneda,Ávila,26,24,4,"16,7",10,"41,7",19,"79,2",0,19,0,19,PP,"31,6",Podemos,"21,1",3,6,0,4,0,0,3,3,"15,8","31,6","0,0","21,1","0,0","0,0","15,8","15,8"
05019,AVILA,Ávila,Ávila,57949,44773,15363,"34,3",23447,"52,4",32100,"71,7",226,31874,214,31660,PSOE,"25,5",PP,"24,0",8113,7647,5362,1162,2087,0,6244,1045,"25,5","24,0","16,8","3,6","6,5","0,0","19,6","3,3"
05021,EL BARCO DE AVILA,El Barco de Ávila,Ávila,2298,1876,739,"39,4",1060,"56,5",1410,"75,2",37,1373,20,1353,PP,"39,0",PSOE,"33,9",466,535,153,100,50,0,14,35,"33,9","39,0","11,1","7,3","3,6","0,0","1,0","2,5"
05022,EL BARRACO,El Barraco,Ávila,1973,1574,818,"52,0",1075,"68,3",1274,"80,9",18,1256,3,1253,PP,"52,4",PSOE,"16,8",211,658,109,20,73,0,156,26,"16,8","52,4","8,7","1,6","5,8","0,0","12,4","2,1"
05023,BARROMÁN,Barromán,Ávila,181,176,101,"57,4",139,"79,0",166,"94,3",2,164,4,160,PP,"53,0",PSOE,"15,9",26,87,16,2,6,0,22,1,"15,9","53,0","9,8","1,2","3,7","0,0","13,4","0,6"
05024,BECEDAS,Becedas,Ávila,183,197,95,"48,2",117,"59,4",151,"76,6",3,148,3,145,PP,"48,6",PSOE,"27,0",40,72,15,6,8,0,1,3,"27,0","48,6","10,1","4,1","5,4","0,0","0,7","2,0"
05025,BECEDILLAS,Becedillas,Ávila,77,80,39,"48,8",54,"67,5",66,"82,5",0,66,1,65,PP,"60,6",PSOE,"18,2",12,40,8,1,4,0,0,0,"18,2","60,6","12,1","1,5","6,1","0,0","0,0","0,0"
05026,BERCIAL DE ZAPARDIEL,Bercial de Zapardiel,Ávila,195,185,120,"64,9",137,"74,1",159,"85,9",1,158,3,155,PP,"44,3",PSOE,"22,8",36,70,18,3,4,0,0,24,"22,8","44,3","11,4","1,9","2,5","0,0","0,0","15,2"
05027,LAS BERLANAS,Las Berlanas,Ávila,334,258,109,"42,2",175,"67,8",202,"78,3",3,199,0,199,PP,"42,2",PSOE,"21,1",42,84,36,3,12,0,19,3,"21,1","42,2","18,1","1,5","6,0","0,0","9,5","1,5"
05029,BERNUY-ZAPARDIEL,Bernuy-Zapardiel,Ávila,90,99,47,"47,5",68,"68,7",76,"76,8",0,76,3,73,PP,"59,2",PSOE,"21,1",16,45,7,0,5,0,0,0,"21,1","59,2","9,2","0,0","6,6","0,0","0,0","0,0"
05030,BERROCALEJO DE ARAGONA,Berrocalejo de Aragona,Ávila,49,41,15,"36,6",26,"63,4",36,"87,8",0,36,1,35,PSOE,"36,1",Podemos,"22,2",13,6,3,8,0,0,1,4,"36,1","16,7","8,3","22,2","0,0","0,0","2,8","11,1"
05033,BLASCOMILLÁN,Blascomillán,Ávila,181,170,52,"30,6",96,"56,5",139,"81,8",0,139,0,139,PP,"52,5",PSOE,"23,0",32,73,19,4,6,0,4,1,"23,0","52,5","13,7","2,9","4,3","0,0","2,9","0,7"
05034,BLASCONUÑO DE MATACABRAS,Blasconuño de Matacabras,Ávila,14,15,6,"40,0",7,"46,7",14,"93,3",0,14,0,14,PSOE,"35,7",PP,"28,6",5,4,2,0,2,0,0,1,"35,7","28,6","14,3","0,0","14,3","0,0","0,0","7,1"
05035,BLASCOSANCHO,Blascosancho,Ávila,101,96,49,"51,0",65,"67,7",77,"80,2",2,75,0,75,PSOE,"36,0",PP,"34,7",27,26,8,7,3,0,3,1,"36,0","34,7","10,7","9,3","4,0","0,0","4,0","1,3"
05036,EL BOHODON,El Bohodón,Ávila,117,117,73,"62,4",92,"78,6",101,"86,3",2,99,1,98,PP,"69,7",Cs,"14,1",7,69,14,0,5,0,0,3,"7,1","69,7","14,1","0,0","5,1","0,0","0,0","3,0"
05037,BOHOYO,Bohoyo,Ávila,231,217,101,"46,5",135,"62,2",161,"74,2",2,159,0,159,PP,"38,4",PSOE,"32,7",52,61,23,2,6,0,13,2,"32,7","38,4","14,5","1,3","3,8","0,0","8,2","1,3"
05038,BONILLA DE LA SIERRA,Bonilla de la Sierra,Ávila,131,115,55,"47,8",74,"64,3",106,"92,2",2,104,0,104,PP,"50,0",PSOE,"26,9",28,52,11,8,3,0,2,0,"26,9","50,0","10,6","7,7","2,9","0,0","1,9","0,0"
05039,BRABOS,Brabos,Ávila,42,48,28,"58,3",41,"85,4",47,"97,9",0,47,0,47,PP,"59,6",PSOE,"12,8",6,28,5,3,1,0,3,1,"12,8","59,6","10,6","6,4","2,1","0,0","6,4","2,1"
05040,BULARROS,Bularros,Ávila,63,64,23,"35,9",44,"68,8",53,"82,8",2,51,0,51,PP,"39,2",PSOE,"21,6",11,20,9,2,3,0,6,0,"21,6","39,2","17,6","3,9","5,9","0,0","11,8","0,0"
05041,BURGOHONDO,Burgohondo,Ávila,1231,995,531,"53,4",721,"72,5",849,"85,3",5,844,6,838,PP,"46,7",XAV,"16,7",139,394,84,19,43,0,141,18,"16,5","46,7","10,0","2,3","5,1","0,0","16,7","2,1"
