Seccion,Municipio,Year2018,Year2017,Year2016,Year2015,
44001,Ababuj, , , , ,
4400101,Ababuj, , , , ,
4400101001,Ababuj, , , , ,
40001,Abades,30720,30918,28704,28316,
4000101,Abades,30720,30918,28704,28316,
4000101001,Abades,30720,30918,28704,28316,
10001,Abad?,21358,20205,18619,21425,
1000101,Abad?,21358,20205,18619,21425,
1000101001,Abad?,21358,20205,18619,21425,
27001,Abad?,25811,24647,24025,23249,
2700101,Abad?,25811,24647,24025,23249,
2700101001,Abad?,26789,25947,25523,24684,
2700101002,Abad?,24876,23748,22849,21957,
2700101003,Abad?,25656,24239,23645,22987,
48001,Abadi?,44776,43961,43813,42442,
4800101,Abadi?,44776,43961,43813,42442,
4800101001,Abadi?,51452,50836,52151,48708,
4800101002,Abadi?,38830,38771,38889,37879,
4800101003,Abadi?,34930,33778,33432,32307,
4800101004,Abadi?,45647,43935,43256,42841,
4800101005,Abadi?,49332,48941,48176,47234,
31001,Ab?gar, , , , ,
3100101,Ab?gar, , , , ,
3100101001,Ab?gar, , , , ,
9001,Abajas, , , , ,
900101,Abajas, , , , ,
900101001,Abajas, , , , ,
26001,?alos,29439,25128,30483,28945,
2600101,?alos,29439,25128,30483,28945,
2600101001,?alos,29439,25128,30483,28945,
20001,Abaltzisketa,56621,79957,50069, ,
2000101,Abaltzisketa,56621,79957,50069, ,
2000101001,Abaltzisketa,56621,79957,50069, ,
19001,Ab?ades, , , , ,
1900101,Ab?ades, , , , ,
1900101001,Ab?ades, , , , ,
30001,Abanilla,26790,25826,24210,23631,
3000101,Abanilla,29369,28828,27071,26122,
3000101001,Abanilla,25115,24299,23575,22651,
3000101002,Abanilla,32584,31310,29165,27961,
3000101003,Abanilla,30788,32037,29374,28867,
3000102,Abanilla,24117,22709,21289,21028,
3000102001,Abanilla,22623,21866,20407,19537,
3000102002,Abanilla,22328,20516,19821,20341,
3000102003,Abanilla,29171,27181,24858,24620,
50001,Abanto, , , ,23714,
5000101,Abanto, , , ,23714,
5000101001,Abanto, , , ,23714,
48002,Abanto,39395,37755,37210,36471,
4800201,Abanto,37282,36061,35213,34637,
4800201001,Abanto,37980,37162,36206,36021,
4800201002,Abanto,36898,34865,33892,32056,
4800201004,Abanto,31284,31029,30769,30441,
4800201005,Abanto,40148,38385,37490,37274,
4800202,Abanto,41865,39735,39583,38656,
4800202001,Abanto,38349,37678,37885,36491,
4800202002,Abanto,40994,38244,38203,37000,
4800202003,Abanto,45116,42355,41868,41502,
30002,Abar?,29000,27957,26671,26509,
3000201,Abar?,29000,27957,26671,26509,
3000201001,Abar?,28689,26607,25153,25044,
3000201002,Abar?,29753,27822,26716,27101,
3000201003,Abar?,35975,33290,33142,32999,
3000201004,Abar?,24767,23945,23669,22717,
3000201005,Abar?,26644,26636,25988,26080,
3000201006,Abar?,24216,23437,22052,21710,
3000201007,Abar?,26263,32729,23411,23396,
3000201008,Abar?,26549,26071,23746,23810,
3000201009,Abar?,31241,30397,29563,29944,
3000201010,Abar?,31734,28953,28312,28745,
3000201011,Abar?,31854,29613,32001,29982,
3000201012,Abar?,31250,28654,27282,26772,
34001,Abarca, , , , ,
3400101,Abarca, , , , ,
3400101001,Abarca, , , , ,
31002,Ab?zuza/Abartzuza, , , , ,
3100201,Ab?zuza/Abartzuza, , , , ,
3100201001,Ab?zuza/Abartzuza, , , , ,
31003,Abaurregaina/Abaurrea, , , , ,
3100301,Abaurregaina/Abaurrea, , , , ,
3100301001,Abaurregaina/Abaurrea, , , , ,
31004,Abaurrepea/Abaurrea, , , , ,
3100401,Abaurrepea/Abaurrea, , , , ,
3100401001,Abaurrepea/Abaurrea, , , , ,
15001,Abegondo,35247,33377,32833,32055,
1500101,Abegondo,36099,33583,32975,32586,
1500101001,Abegondo,35584,34337,34804,33902,
1500101002,Abegondo,36769,32619,30696,31015,
1500102,Abegondo,31756,29290,28307,28582,
1500102001,Abegondo,32262,29593,28975,30239,
1500102002,Abegondo,31245,28983,27658,26994,
1500103,Abegondo,36779,35746,35550,33868,
1500103001,Abegondo,34879,34271,33095,31781,
1500103002,Abegondo,39849,38127,39550,37165,
