OBJECTID,id_areafc,id_estfc,nombre,tip_areafc,tip_areafD,fecha_alta,Shape__Area,Shape__Length
1,290670000025,290670000025,Apeadero de Victoria Kent,2,Componente de infraestructura,2019/08/08 00:00:00+00,1508.56298828125,163.720058203523
2,290120004388,290120000039,Apartadero de Las Mellizas,1,Perímetro de infraestructura,2019/08/08 00:00:00+00,14306.3751220703,1404.5803043722
3,290670000020,290670000020,Cargadero de Málaga-Playa,2,Componente de infraestructura,2019/08/08 00:00:00+00,1769.52465820313,193.490019929794
4,290120004214,290120000022,Apartadero de Álora,1,Perímetro de infraestructura,2019/08/08 00:00:00+00,12927.1479492188,800.916594252939
5,299010004301,299010000029,Apeadero de El Pinillo,1,Perímetro de infraestructura,2019/08/08 00:00:00+00,3894.35888671875,281.787177253844
6,290150001575,290150000006,Estación de Bobadilla,2,Componente de infraestructura,2019/08/08 00:00:00+00,1718.62243652344,370.648974946729
7,299010000047,299010000047,Apeadero de La Colina,2,Componente de infraestructura,2019/08/08 00:00:00+00,228.185668945313,87.5635319114219
8,290120000022,290120000022,Apartadero de Álora,2,Componente de infraestructura,2019/08/08 00:00:00+00,571.013061523438,99.1367012754412
9,290150004199,290150000006,Estación de Bobadilla,1,Perímetro de infraestructura,2019/08/08 00:00:00+00,130523.245727539,5111.00919564156
10,299010004310,299010000047,Apeadero de La Colina,1,Perímetro de infraestructura,2019/08/08 00:00:00+00,6874.76293945313,370.062111946937
11,290460004386,290460000038,Apartadero de Gaucín,1,Perímetro de infraestructura,2019/08/08 00:00:00+00,11044.6295166016,737.976823323944
12,290670000021,290670000021,Apeadero-cargadero del Campo de Golf,2,Componente de infraestructura,2019/08/08 00:00:00+00,23.688232421875,20.4046538032122
13,299010000029,299010000029,Apeadero de El Pinillo,2,Componente de infraestructura,2019/08/08 00:00:00+00,157.687133789063,57.5067005782047
14,290540000008,290540000008,Estación de Fuengirola,2,Componente de infraestructura,2019/08/08 00:00:00+00,195.240356445313,73.9576940707563
15,290250000035,290250000035,Apartadero de Benalmadena-Arroyo de la Miel,2,Componente de infraestructura,2019/08/08 00:00:00+00,509.056518554688,149.988756392505
16,290670000011,290670000011,Apartadero de Campanillas,2,Componente de infraestructura,2019/08/08 00:00:00+00,2797.79675292969,297.601857215126
17,290380000036,290380000036,Apartadero de Aljaima,2,Componente de infraestructura,2019/08/08 00:00:00+00,147.416625976563,49.5005215982008
18,290460000015,290460000015,Apartadero de Cortes,2,Componente de infraestructura,2019/08/08 00:00:00+00,373.40234375,92.1534872950152
19,290840000044,290840000044,Estación de Ronda,2,Componente de infraestructura,2019/08/08 00:00:00+00,1315.63427734375,180.071604874206
20,290630000009,290630000009,Apartadero de Jimera de Líbar,2,Componente de infraestructura,2019/08/08 00:00:00+00,331.486083984375,80.4455616397912
21,290550004136,290550000017,Apartadero-cargadero de Fuente de Piedra,1,Perímetro de infraestructura,2019/08/08 00:00:00+00,5773.63427734375,503.263815968202
22,290120000013,290120000013,Apartadero del Chorro,2,Componente de infraestructura,2019/08/08 00:00:00+00,223.155517578125,71.3010368794132
23,290550000017,290550000017,Apartadero-cargadero de Fuente de Piedra,2,Componente de infraestructura,2019/08/08 00:00:00+00,341.29443359375,74.5463615170501
24,290840004372,290840000010,Apartadero-cargadero de La Indiana,1,Perímetro de infraestructura,2019/08/08 00:00:00+00,5371.42810058594,556.381850932829
25,290670001627,290670000002,Estación de Los Prados-A.V.,2,Componente de infraestructura,2019/08/08 00:00:00+00,38.18701171875,24.7321576855896
26,290670004297,290670000021,Apeadero-cargadero del Campo de Golf,1,Perímetro de infraestructura,2019/08/08 00:00:00+00,2523.77270507813,263.355446902352
27,290120004203,290120000013,Apartadero del Chorro,1,Perímetro de infraestructura,2019/08/08 00:00:00+00,5529.77368164063,410.575649750338
28,290380004390,290380000042,Apartadero de Cartama,1,Perímetro de infraestructura,2019/08/08 00:00:00+00,9222.6005859375,751.518469519634
29,290540000023,290540000023,Apeadero de Los Boliches,2,Componente de infraestructura,2019/08/08 00:00:00+00,334.886962890625,197.875006490701
30,290670004304,290670000032,Apeadero de Málaga Centro-Alameda,1,Perímetro de infraestructura,2019/08/08 00:00:00+00,111.350219726563,42.269531168106
31,290670001626,290670000002,Estación de Los Prados-A.V.,2,Componente de infraestructura,2019/08/08 00:00:00+00,50.759765625,30.0272409495179
32,290380000042,290380000042,Apartadero de Cartama,2,Componente de infraestructura,2019/08/08 00:00:00+00,366.405639648438,76.7885728927805
33,390750003295,390750000006,Apeadero de Cazoña,1,Perímetro de infraestructura,2018/02/18 00:00:00+00,46.3443603515625,36.8264011706813
34,221740003584,221740000129,Estación de Terreu,1,Perímetro de infraestructura,2018/02/18 00:00:00+00,24.818603515625,20.5216612897237
35,290250004384,290250000035,Apartadero de Benalmadena-Arroyo de la Miel,1,Perímetro de infraestructura,2019/08/08 00:00:00+00,5012.20043945313,443.204042606128
36,290670000026,290670000026,Apeadero de Guadalhorce,2,Componente de infraestructura,2019/08/08 00:00:00+00,398.458374023438,80.6513709246795
37,290150001577,290150000006,Estación de Bobadilla,2,Componente de infraestructura,2019/08/08 00:00:00+00,34.6021728515625,23.614490719462
38,290840001600,290840000044,Estación de Ronda,2,Componente de infraestructura,2019/08/08 00:00:00+00,216.391235351563,80.0705944178253
39,290250000012,290250000012,Apartadero de Torremuelle,2,Componente de infraestructura,2019/08/08 00:00:00+00,389.598266601563,211.311687410733
40,290840001599,290840000044,Estación de Ronda,2,Componente de infraestructura,2019/08/08 00:00:00+00,266.3330078125,75.2521656101414
41,290460004207,290460000015,Apartadero de Cortes,1,Perímetro de infraestructura,2019/08/08 00:00:00+00,5111.76745605469,497.344946447316
42,299010000040,299010000040,Apeadero de Montemar Alto,2,Componente de infraestructura,2019/08/08 00:00:00+00,190.445068359375,114.863520785165
43,299010000034,299010000034,Apeadero de Los Álamos,2,Componente de infraestructura,2019/08/08 00:00:00+00,84.961181640625,53.2769657110523
44,290670000003,290670000003,Estación de María-Zambrano,2,Componente de infraestructura,2019/08/08 00:00:00+00,5090.68798828125,415.294999947409
45,290150001571,290150000006,Estación de Bobadilla,2,Componente de infraestructura,2019/08/08 00:00:00+00,388.73974609375,108.435910314294
46,290380004385,290380000036,Apartadero de Aljaima,1,Perímetro de infraestructura,2019/08/08 00:00:00+00,23770.7880859375,1325.71467368431
47,299010000024,299010000024,Estación de Torremolinos,2,Componente de infraestructura,2019/08/08 00:00:00+00,53.297119140625,30.1517347392001
48,290540004216,290540000023,Apeadero de Los Boliches,1,Perímetro de infraestructura,2019/08/08 00:00:00+00,334.886962890625,197.875006490701
49,290670000004,290670000004,Apeadero de Plaza Mayor,2,Componente de infraestructura,2019/08/08 00:00:00+00,180.185302734375,86.1175486668353
50,290540004382,290540000031,Apeadero de Torreblanca,1,Perímetro de infraestructura,2019/08/08 00:00:00+00,1452.00830078125,195.738996717624
51,290800005246,290800000041,Apartadero-cargadero de Pizarra,1,Perímetro de infraestructura,2019/08/08 00:00:00+00,6128.63977050781,424.502080397386
52,290670004299,290670000026,Apeadero de Guadalhorce,1,Perímetro de infraestructura,2019/08/08 00:00:00+00,1755.18273925781,191.798864971058
53,290280000048,290280000048,Apartadero de Benaoján-Montejaque,2,Componente de infraestructura,2019/08/08 00:00:00+00,459.446166992188,105.148059349562
54,290120000045,290120000045,Estación de Álora,2,Componente de infraestructura,2019/08/08 00:00:00+00,595.724609375,109.510707050402
55,290670004209,290670000016,Apeadero de San Julián,1,Perímetro de infraestructura,2019/08/08 00:00:00+00,390.0791015625,201.903059305251
56,290840001598,290840000044,Estación de Ronda,2,Componente de infraestructura,2019/08/08 00:00:00+00,79.526611328125,35.7473569236865
57,290890004302,290890000030,Apeadero de Teba,1,Perímetro de infraestructura,2019/08/08 00:00:00+00,439.938354492188,202.042093336669
58,290200004370,290200000007,Apartadero de Arriate,1,Perímetro de infraestructura,2019/08/08 00:00:00+00,9336.25671386719,645.054004636808
59,290840004229,290840000044,Estación de Ronda,1,Perímetro de infraestructura,2019/08/08 00:00:00+00,37124.4205322266,1295.36742482084
60,290630004371,290630000009,Apartadero de Jimera de Líbar,1,Perímetro de infraestructura,2019/08/08 00:00:00+00,331.486083984375,80.4455616397912
61,290150004380,290150000028,Apartadero de Gobantes,1,Perímetro de infraestructura,2019/08/08 00:00:00+00,1037.9453125,128.968841066032
62,290670000002,290670000002,Estación de Los Prados-A.V.,2,Componente de infraestructura,2019/08/08 00:00:00+00,809.70166015625,138.341252451215
63,290150001574,290150000006,Estación de Bobadilla,2,Componente de infraestructura,2019/08/08 00:00:00+00,1029.51208496094,349.791926556066
64,290890000030,290890000030,Apeadero de Teba,2,Componente de infraestructura,2019/08/08 00:00:00+00,37.3492431640625,24.8394668389698
65,290150000001,290150000001,Estacion de Antequera-Santa Ana,2,Componente de infraestructura,2019/08/08 00:00:00+00,3022.43530273438,257.497527468796
66,290150000028,290150000028,Apartadero de Gobantes,2,Componente de infraestructura,2019/08/08 00:00:00+00,171.352416992188,65.130874772848
67,290150001570,290150000006,Estación de Bobadilla,2,Componente de infraestructura,2019/08/08 00:00:00+00,393.050659179688,90.7620937453611
68,290320000014,290320000014,Apartadero-cargadero de Campillos,2,Componente de infraestructura,2019/08/08 00:00:00+00,247.8134765625,72.9473928436768
69,290670001584,290670000025,Apeadero de Victoria Kent,2,Componente de infraestructura,2019/08/08 00:00:00+00,1586.44653320313,167.716902771408
70,290670004197,290670000004,Apeadero de Plaza Mayor,1,Perímetro de infraestructura,2019/08/08 00:00:00+00,180.185302734375,86.1175486668353
71,290840001695,290840000010,Apartadero-cargadero de La Indiana,2,Componente de infraestructura,2019/08/08 00:00:00+00,176.311767578125,53.1910718207653
72,290170004376,290170000019,Apartadero de Salinas-Villanueva de Tapia,1,Perímetro de infraestructura,2019/08/08 00:00:00+00,3173.57104492188,325.543088562497
73,290150001569,290150000006,Estación de Bobadilla,2,Componente de infraestructura,2019/08/08 00:00:00+00,198.243774414063,72.8887250189559
74,290670000016,290670000016,Apeadero de San Julián,2,Componente de infraestructura,2019/08/08 00:00:00+00,390.0791015625,201.903059305251
75,290170000019,290170000019,Apartadero de Salinas-Villanueva de Tapia,2,Componente de infraestructura,2019/08/08 00:00:00+00,130.832275390625,49.5731035196634
76,290120001583,290120000022,Apartadero de Álora,2,Componente de infraestructura,2019/08/08 00:00:00+00,344.993408203125,76.1574931290993
77,290840001597,290840000044,Estación de Ronda,2,Componente de infraestructura,2019/08/08 00:00:00+00,66.7625732421875,33.5919775035705
78,290800000041,290800000041,Apartadero-cargadero de Pizarra,2,Componente de infraestructura,2019/08/08 00:00:00+00,231.786376953125,63.9890899135956
79,290670004296,290670000011,Apartadero de Campanillas,1,Perímetro de infraestructura,2019/08/08 00:00:00+00,2797.79675292969,297.601857215126
80,290200001694,290200000007,Apartadero de Arriate,2,Componente de infraestructura,2019/08/08 00:00:00+00,47.6827392578125,28.1446906498119
81,290670001563,290670000002,Estación de Los Prados-A.V.,2,Componente de infraestructura,2019/08/08 00:00:00+00,4070.03332519531,428.674287013797
82,290460000038,290460000038,Apartadero de Gaucín,2,Componente de infraestructura,2019/08/08 00:00:00+00,347.149291992188,79.7362065163324
83,290120001580,290120000013,Apartadero del Chorro,2,Componente de infraestructura,2019/08/08 00:00:00+00,162.452026367188,53.2005597697334
84,290280004392,290280000048,Apartadero de Benaoján-Montejaque,1,Perímetro de infraestructura,2019/08/08 00:00:00+00,6302.24951171875,553.428561304508
85,290670004195,290670000002,Estación de Los Prados-A.V.,1,Perímetro de infraestructura,2019/08/08 00:00:00+00,266661.090087891,4434.71651947592
86,290840001595,290840000044,Estación de Ronda,2,Componente de infraestructura,2019/08/08 00:00:00+00,618.445556640625,117.038695134471
87,290150000006,290150000006,Estación de Bobadilla,2,Componente de infraestructura,2019/08/08 00:00:00+00,1142.51135253906,155.045558196211
88,299010004217,299010000024,Estación de Torremolinos,1,Perímetro de infraestructura,2019/08/08 00:00:00+00,2507.64709472656,283.587369684542
89,290200001693,290200000007,Apartadero de Arriate,2,Componente de infraestructura,2019/08/08 00:00:00+00,125.890747070313,52.9020887025743
90,290320004205,290320000014,Apartadero-cargadero de Campillos,1,Perímetro de infraestructura,2019/08/08 00:00:00+00,17169.0119628906,1315.02473048286
91,31220000002,31220000002,Estación de Sant Vicent del Raspeig,2,Componente de infraestructura,2018/02/18 00:00:00+00,33.630859375,33.9343009587593
92,299010001633,299010000047,Apeadero de La Colina,2,Componente de infraestructura,2019/08/08 00:00:00+00,114.53662109375,58.7736186281974
93,290840001596,290840000044,Estación de Ronda,2,Componente de infraestructura,2019/08/08 00:00:00+00,207.429077148438,72.7966084373437
94,290150001572,290150000006,Estación de Bobadilla,2,Componente de infraestructura,2019/08/08 00:00:00+00,471.443725585938,117.380152687897
95,290670004383,290670000033,Apartadero de Málaga-Puerto,1,Perímetro de infraestructura,2019/08/08 00:00:00+00,2128.69152832031,201.349325380641
96,290840000010,290840000010,Apartadero-cargadero de La Indiana,2,Componente de infraestructura,2019/08/08 00:00:00+00,231.578491210938,70.7917571144668
97,210410004281,210410000023,Estación de Huelva,2,Componente de infraestructura,2020/02/24 00:00:00+00,26686.8546142578,1129.08821859343
98,290250004373,290250000012,Apartadero de Torremuelle,1,Perímetro de infraestructura,2019/08/08 00:00:00+00,6531.94128417969,469.570871698944
99,290670001565,290670000002,Estación de Los Prados-A.V.,2,Componente de infraestructura,2019/08/08 00:00:00+00,249.509887695313,63.1839014818536
100,290540004200,290540000008,Estación de Fuengirola,1,Perímetro de infraestructura,2019/08/08 00:00:00+00,195.240356445313,73.9576940707563
101,290170001716,290170000046,Apartadero de Archidona,2,Componente de infraestructura,2019/08/08 00:00:00+00,201.33056640625,57.1143723355069
102,290150004194,290150000001,Estacion de Antequera-Santa Ana,1,Perímetro de infraestructura,2019/08/08 00:00:00+00,56218.4063720703,1512.97722434552
103,290100000018,290100000018,Apartadero-cargadero de Almargen,2,Componente de infraestructura,2019/08/08 00:00:00+00,228.281005859375,62.8910102959348
104,290170004391,290170000046,Apartadero de Archidona,1,Perímetro de infraestructura,2019/08/08 00:00:00+00,14261.8006591797,736.946871664693
105,290670004292,290670000005,Estación de Los Prados,1,Perímetro de infraestructura,2019/08/08 00:00:00+00,2501.13745117188,261.337545753259
106,290380001709,290380000036,Apartadero de Aljaima,2,Componente de infraestructura,2019/08/08 00:00:00+00,157.565307617188,51.0354688649931
107,390750003296,390750000008,Cargadero de Santander-Puerto,1,Perímetro de infraestructura,2018/02/18 00:00:00+00,239899.409545898,3124.0349450816
108,20290003978,20290000009,Estación de Chinchilla,1,Perímetro de infraestructura,2018/02/18 00:00:00+00,242.48828125,64.8273753274288
109,200730003390,200730000119,Apeadero de Aginaga/Aginagako Geralekua,1,Perímetro de infraestructura,2018/02/18 00:00:00+00,93.197021484375,40.8490081476458
110,290120000039,290120000039,Apartadero de Las Mellizas,2,Componente de infraestructura,2019/08/08 00:00:00+00,167.774658203125,55.3103278594259
111,290380001708,290380000036,Apartadero de Aljaima,2,Componente de infraestructura,2019/08/08 00:00:00+00,71.6453857421875,34.146552291392
112,290460001710,290460000038,Apartadero de Gaucín,2,Componente de infraestructura,2019/08/08 00:00:00+00,142.127563476563,48.0046546485575
113,290540000031,290540000031,Apeadero de Torreblanca,2,Componente de infraestructura,2019/08/08 00:00:00+00,79.53515625,35.7133791724416
114,299010004307,299010000040,Apeadero de Montemar Alto,1,Perímetro de infraestructura,2019/08/08 00:00:00+00,1863.1640625,306.720385043032
115,290100004210,290100000018,Apartadero-cargadero de Almargen,1,Perímetro de infraestructura,2019/08/08 00:00:00+00,13502.7827148438,1171.43353609482
116,290120004230,290120000045,Estación de Álora,1,Perímetro de infraestructura,2019/08/08 00:00:00+00,4956.5888671875,307.044435339233
117,290150004140,290150000043,Apartadero-cargadero de Antequera,1,Perímetro de infraestructura,2019/08/08 00:00:00+00,20877.1567382813,1041.88980518683
118,290670004218,290670000025,Apeadero de Victoria Kent,1,Perímetro de infraestructura,2019/08/08 00:00:00+00,16905.8912353516,742.778124077368
119,290380001715,290380000042,Apartadero de Cartama,2,Componente de infraestructura,2019/08/08 00:00:00+00,61.2349853515625,31.8732059890052
120,290120001582,290120000022,Apartadero de Álora,2,Componente de infraestructura,2019/08/08 00:00:00+00,164.35791015625,55.0887335246788
121,290670001564,290670000002,Estación de Los Prados-A.V.,2,Componente de infraestructura,2019/08/08 00:00:00+00,2366.98657226563,230.297245372104
122,290540004379,290540000027,Apartadero de Carvajal,1,Perímetro de infraestructura,2019/08/08 00:00:00+00,7765.25427246094,510.28397734425
123,299010004305,299010000034,Apeadero de Los Álamos,1,Perímetro de infraestructura,2019/08/08 00:00:00+00,7359.39233398438,448.879868076659
124,290150001573,290150000006,Estación de Bobadilla,2,Componente de infraestructura,2019/08/08 00:00:00+00,449.693237304688,133.162724819039
125,290840001699,290840000010,Apartadero-cargadero de La Indiana,2,Componente de infraestructura,2019/08/08 00:00:00+00,21.8570556640625,19.1758398788521
126,290670000033,290670000033,Apartadero de Málaga-Puerto,2,Componente de infraestructura,2019/08/08 00:00:00+00,2128.69152832031,201.349325380641
127,290200001692,290200000007,Apartadero de Arriate,2,Componente de infraestructura,2019/08/08 00:00:00+00,182.305053710938,54.0266657124182
128,390930003315,390930000084,Estación de Los Carabeos,1,Perímetro de infraestructura,2018/02/18 00:00:00+00,3710.26184082031,680.532384750692
129,290840001696,290840000010,Apartadero-cargadero de La Indiana,2,Componente de infraestructura,2019/08/08 00:00:00+00,38.6741943359375,25.1353700199439
130,290540000027,290540000027,Apartadero de Carvajal,2,Componente de infraestructura,2019/08/08 00:00:00+00,1295.55883789063,389.02441618918
131,290670000005,290670000005,Estación de Los Prados,2,Componente de infraestructura,2019/08/08 00:00:00+00,434.998168945313,209.762830565908
132,290150000043,290150000043,Apartadero-cargadero de Antequera,2,Componente de infraestructura,2019/08/08 00:00:00+00,597.848388671875,105.44867980061
133,290670004261,290670000020,Cargadero de Málaga-Playa,1,Perímetro de infraestructura,2019/08/08 00:00:00+00,1769.52465820313,193.490019929794
134,290670004196,290670000003,Estación de María-Zambrano,1,Perímetro de infraestructura,2019/08/08 00:00:00+00,59631.8955078125,1232.63195006139
135,290150001576,290150000006,Estación de Bobadilla,2,Componente de infraestructura,2019/08/08 00:00:00+00,60.2052001953125,31.6429898762509
136,290170001705,290170000019,Apartadero de Salinas-Villanueva de Tapia,2,Componente de infraestructura,2019/08/08 00:00:00+00,141.369995117188,47.5799551238423
137,290840001698,290840000010,Apartadero-cargadero de La Indiana,2,Componente de infraestructura,2019/08/08 00:00:00+00,40.6773681640625,25.6937764082457
